number;title;category_id;file
1244;Αγάπη πιο πλατειά;19;1244.mp3
269;Αγάπην πλείω δος;5;269.mp3
1319;Άγια νυχτιά, ειρηνική;9;1319.mp3
1029;Άγιε Πατέρα;1;1029.mp3
16;Άγιε Πατέρα, πόσο Σ’ ευχαριστώ;1;16.mp3
10;Άγιος, Άγιος, Άγιος Κύριος, Σαβαώθ;1;10.mp3
1039;Άγιος, Άγιος, Άγιος, Άγιος ο Θεός;1;1039.mp3
9;Άγιος, Άγιος, Άγιος, Κύριος ο Θεός;1;9.mp3
582;Άγιος, Άγιος, Άγιος, Κύριος των πάντων;1;582.mp3
1030;Άγιος, άγιος, άγιος, Κύριος, Θεός;1;1030.mp3
125;Άδικα ζητάς μες στο χιόνι;3;125.mp3
408;Αι ημέραι πλησιάζουν και τα τέλη των καιρών;12;408.mp3
1048;Αινείτε όλοι οι λαοί;1;1048.mp3
13;Αινείτε πάντες οι λαοί;1;13.mp3
2;Αινέσωμεν, πιστοί;1;2.mp3
599;Άκουσαν φτωχοί ποιμένες;9;599.mp3
1320;Άκουσαν φτωχοί ποιμένες την ουράνια στρατιά;9;1320.mp3
65;Ακούω Σης φωνής;2;65.mp3
463;Αλληλού – αλληλού – αλληλού – αλληλούια;15;463.mp3
64;Άλλοτε γιος της αμαρτίας;2;64.mp3
1252;Αλύτρωτος, αμαρτωλός;3;1252.mp3
1355;Αμαρτίαι σου αν είναι ερυθραί ως κόκκινον;3;1355.mp3
129;Αμαρτωλέ, θα σου ειπώ;3;129.mp3
66;Αμαρτωλός ως είμαι;2;66.mp3
586;Αν άνεμοι θρηνούνε;4;586.mp3
464;Αν Εσύ δεν μ’ αγαπούσες;15;464.mp3
606;Αν μου δώσεις μάτια στη ζωή μου;4;606.mp3
337;Αναγγείλατε παντού;8;337.mp3
399;Αναστάσεως ημέρα;11;399.mp3
372;Ανέκφραστος είναι Χριστέ;10;372.mp3
18;Άξιος δόξης και τιμής;1;18.mp3
578;Απ’ αγάπη ο Πλάστης Θεός;16;578.mp3
373;Απ’ το αίμα του Σταυρού Σου;10;373.mp3
1325;Απέραντα θλιμμένη μορφή του Ιησού;10;1325.mp3
338;Απέραντος κάμπος, χωράφια πολλά;8;338.mp3
19;Από τ’ Ουρανού τη δόξα;18;19.mp3
353;Από τ’ Ουρανού τη χώρα;9;353.mp3
70;Από τον Ουρανό ήρθ’ ο Χριστός μας;18;70.mp3
20;Ας ακουστεί η φωνή;4;20.mp3
1044;Ας ψάλλουμε, πιστοί, στον ύψιστο Θεό;1;1044.mp3
467;Άσωστη νύχτα μακρινή;15;467.mp3
1062;Αυτή τη στιγμή ποθώ;1;1062.mp3
607;Αυτός λυτρώνει καρδιές;2;607.mp3
1105;Αυτός το σύμπαν συντηρεί;1;1105.mp3
424;Αφ’ ότου ειρήνη την εμήν οδόν;13;424.mp3
425;Βαίνομεν προς την πατρίδα;13;425.mp3
1119;Βασιλιάς Εσύ σ’ όλη τη γη.;1;1119.mp3
203;Βλέπε στον Χριστόν με πίστιν;4;203.mp3
470;Βλέπω τα πελάγη τα πλατιά;15;470.mp3
471;Βουβοί, σκυφτοί και φορτωμένοι;2;471.mp3
1274;Βράχε των αιώνων Συ;4;1274.mp3
204;Βράχε των αιώνων, ναι;4;204.mp3
71;Γεμάτος είν’ ο κόσμος από χαρές πολλές;2;71.mp3
628;Γέμισέ με με τη λαμπρότητά Σου;5;628.mp3
22;Γη και θάλασσα και ύψη;1;22.mp3
473;Για μας η ζωή τώρ’ αρχίζει;2;473.mp3
283;Για σένα πάντα στη ζωή φροντίζει ο Θεός;7;283.mp3
1133;Για τη ζωή που μου χάρισες θα Σε υπηρετώ.;2;1133.mp3
474;Για του Χριστού τη χάρη, τρέξτε όλοι;15;474.mp3
72;Γιατί να το κρύψω;2;72.mp3
272;Γλυκεία ώρα προσευχής;6;272.mp3
1246;Γλυκιά χαρά μες στην καρδιά;3;1246.mp3
205;Γλυκύτερον, ω, Ιησού;5;205.mp3
284;Γνωρίζω ότι ο Θεός;4;284.mp3
1065;Δε σου μοιάζει κανένας, ω, Θεέ;1;1065.mp3
206;Δεν επαισχύνομαι, Χριστέ;4;206.mp3
24;Δεν θέλω δυνηθή ποτέ;18;24.mp3
1281;Δεν ξέρω αν στου μέλλοντος;4;1281.mp3
76;Δεν ξεχνώ, ποτέ μου δεν ξεχνώ;2;76.mp3
1349;Δεν περίμενες Θεέ;6;1349.mp3
1256;Δέξου τώρα τον Σωτήρα;3;1256.mp3
649;Δες πώς χαράζει, μέρα ξανά;11;649.mp3
136;Διατί δεν επιστρέφεις;3;136.mp3
285;Διατί να λυπώμαι εις τον κόσμον αυτόν;7;285.mp3
648;Δίνε μου την πίστη;19;648.mp3
5;Δόξα ανήκει στον Χριστόν;1;5.mp3
6;Δόξα και τιμή και αίνος;1;6.mp3
1230;Δόξα και τιμή και ύμνος;1;1230.mp3
1032;Δόξα και τιμή σε Σένα;1;1032.mp3
1113;Δόξα στον Θεό, σε ρυάκια όταν περπατώ;1;1113.mp3
477;Δόξα στον Θεό, στον Θεό;15;477.mp3
636;Δόξα, δόξα, δόξα κάποιος με άγγιξε;2;636.mp3
26;Δόξα, δόξα, δόξα, λατρεία και ύμνο;1;26.mp3
1226;Δόξα, λατρεία και τιμή;1;1226.mp3
27;Δόξαν, λατρείαν και τιμήν;1;27.mp3
478;Δοξασμένο τ’ όνομά Σου, το άγιο;15;478.mp3
479;Δος μου, Σωτήρα, καρδιά πιο ταπεινή;15;479.mp3
1310;Δούλεψε στον αγρό Του;8;1310.mp3
1276;Εάν με της αυγής φτερά;4;1276.mp3
1192;Έβαλε τραγούδι στην καρδιά μου;15;1192.mp3
286;Εγγύτερον, Θεέ;5;286.mp3
1341;Εγερθείτε αδέλφια;12;1341.mp3
238;Εγερθήτ’ οι σεσωσμένοι;5;238.mp3
1356;Εδόθη εις ημάς Υιός;9;1356.mp3
138;Έζων ποτέ ως άσωτος Υιός;3;138.mp3
682;Είμ’ ασφαλής μαζί σου Κύριε;2;682.mp3
1262;Είμαι σωσμένος, έχω χαρά;2;1262.mp3
426;Είμαστε εμείς οι οδοιπόροι;13;426.mp3
483;Είμαστε ενωμένοι όλοι με τον Χριστό;15;483.mp3
357;Είμαστε τρεις μάγοι σοφοί, βασιλείς της Ανατολής;9;357.mp3
485;Είν’ ένας Ήλιος κει στον ουρανό;15;485.mp3
209;Είν’ ο Λόγος Σου στα βήματά μου φως.;4;209.mp3
657;Είναι το αύριο στα χέρια του Κυρίου Ιησού;4;657.mp3
1264;Ειρήνη γλυκιά βρήκα στον Λυτρωτή;2;1264.mp3
78;Ειρήνη μού έφερε ο Χριστός;2;78.mp3
428;Εις τα ύψη επάνω εκεί;13;428.mp3
1131;Είσαι για μένα η δύναμη;2;1131.mp3
665;Είσαι κοντά μου πάντα Εσύ;4;665.mp3
1084;Είσαι ο Βράχος της σωτηρίας;2;1084.mp3
141;Έλα ψυχή ν’ ακούσης τον Θείο Λυτρωτή;3;141.mp3
1322;Ελάτε πιστοί, με χαρά και ελπίδα;9;1322.mp3
142;Ελάτε, νιάτα, στον Λυτρωτή;3;142.mp3
491;Εμπρός, παιδιά, με τη σημαία του Χριστού;8;491.mp3
240;Εν πόθω θερμώ Σε, Χριστέ, αγαπώ;5;240.mp3
358;Εν υψίστοις άγγελοι;9;358.mp3
409;Εν φαιδρότητι και εν χαρά πολλή;12;409.mp3
1253;Ένα βλέμμα με πίστη προς τον Λυτρωτή;3;1253.mp3
79;Έναν Ήλιο έχω στην καρδιά;2;79.mp3
494;Έρχετ’ η στιγμή;15;494.mp3
410;Έρχετ’ ο Κύριος ημών, ας κάμη με σπουδήν;12;410.mp3
1196;Έρχετ’ ο Κύριος, έρχεται;12;1196.mp3
411;Έρχεται πάλι ο Κύριος;12;411.mp3
1108;Έρχομαι στον θρόνο Σου, Θεέ;1;1108.mp3
1213;Έστειλε ο Θεός στη γη μας;4;1213.mp3
273;Έτοιμη, Θεέ μου, είναι η καρδιά μου;5;273.mp3
1;Ευλόγει, ω, ψυχή, τον ύψιστον Θεόν;1;1.mp3
402;Ευσεβείς γυναίκες, λίαν ορθριναί;11;402.mp3
403;Ευφράνθητε, λαοί;11;403.mp3
404;Ευφράνθητι, ω, θύγατερ Σιών;11;404.mp3
1116;Έφτιαξα παιδί βάρκα από χαρτί;4;1116.mp3
1248;Έφυγες απ' τον Πατέρα;3;1248.mp3
1313;Έχω ελπίδα βαθιά στην καρδιά μου;13;1313.mp3
497;Έχω χαρά, χαρά, χαρά, χαρά;15;497.mp3
211;Ζει, ζει ο Χριστός, ο ημών Λυτρωτής;4;211.mp3
498;Ζητάς χαρά στα βουνά τα ψηλά;15;498.mp3
241;Ζήτησε τη Βασιλεία του Θεού;5;241.mp3
1342;Ζούμε στις στερνές ημέρες;12;1342.mp3
378;Ζωήν χάριν εμού;1;378.mp3
499;Η αγάπη Σου, Κύριε, λάμπει;15;499.mp3
697;Η αγάπη του Θεού για μας;10;697.mp3
144;Η αγκαλιά του Λυτρωτή;3;144.mp3
1282;Η γη πικρή σαν ξενιτιά;4;1282.mp3
1171;Η δόξα ανήκει στον Άγιο Θεό;1;1171.mp3
